date,hospital_id,Hospital name,Location,total_number_of_beds,total_admissions,baseline_admissions,surge_multiplier,is_surge,surge_severity,surge_reasons,respiratory_admissions,waterborne_admissions,heat_related_admissions,trauma_admissions,other_admissions,avg_aqi,temperature_c,rainfall_mm,active_events
2021-01-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,285,238,1.2,True,Minor,Poor AQI,83,23,11,47,121,214,28.3,0.0,None
2021-01-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,221,221,1.0,False,None,None,33,22,11,44,111,161,30.1,0.0,None
2021-01-31,KEM_H1,King Edward Memorial Hospital,Parel,2250,264,220,1.2,True,Minor,Poor AQI,77,22,11,44,110,226,31.0,0.0,None
2021-02-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,270,225,1.2,True,Minor,Poor AQI,78,22,11,45,114,214,32.7,0.0,None
2021-02-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,289,289,1.0,False,None,None,43,28,14,57,147,195,33.0,0.0,None
2021-02-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,321,321,1.0,False,None,None,48,32,16,64,161,163,31.4,0.0,None
2021-02-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,326,326,1.0,False,None,None,48,32,16,65,165,128,30.3,0.0,None
2021-02-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,307,307,1.0,False,None,None,46,30,15,61,155,145,30.0,0.0,None
2021-02-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,226,226,1.0,False,None,None,33,22,11,45,115,185,31.5,0.0,None
2021-02-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,255,255,1.0,False,None,None,38,25,12,51,129,121,32.9,0.0,None
2021-02-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,276,276,1.0,False,None,None,41,27,13,55,140,116,32.8,0.0,None
2021-02-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,319,319,1.0,False,None,None,47,31,15,63,163,124,32.8,0.0,None
2021-02-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,239,239,1.0,False,None,None,35,23,11,47,123,126,31.0,0.0,None
2021-02-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,276,230,1.2,True,Minor,Poor AQI,80,23,11,46,116,243,32.3,0.0,None
2021-02-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,246,246,1.0,False,None,None,36,24,12,49,125,155,30.4,0.0,None
2021-02-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,223,223,1.0,False,None,None,33,22,11,44,113,134,30.4,0.0,None
2021-02-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,228,190,1.2,True,Minor,Poor AQI,66,19,9,38,96,229,30.3,0.0,None
2021-02-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,270,270,1.0,False,None,None,40,27,13,54,136,117,28.7,0.0,None
2021-02-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,310,259,1.2,True,Minor,Poor AQI,90,25,12,51,132,208,27.9,0.0,None
2021-02-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,305,305,1.0,False,None,None,45,30,15,61,154,133,28.9,0.0,None
2021-02-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,316,316,1.0,False,None,None,47,31,15,63,160,87,31.5,1.0,None
2021-02-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,323,323,1.0,False,None,None,48,32,16,64,163,151,32.1,0.1,None
2021-02-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,190,190,1.0,False,None,None,28,19,9,38,96,157,32.5,0.0,None
2021-02-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,219,183,1.2,True,Minor,Poor AQI,63,18,9,36,93,207,34.1,0.0,None
2021-02-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,379,316,1.2,True,Minor,Poor AQI,110,31,15,63,160,231,33.2,0.0,None
2021-02-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,354,295,1.2,True,Minor,Poor AQI,103,29,14,59,149,204,31.8,0.0,None
2021-02-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,274,274,1.0,False,None,None,41,27,13,54,139,67,33.2,0.0,None
2021-02-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,324,270,1.2,True,Minor,Poor AQI,94,27,13,54,136,243,33.2,0.0,None
2021-02-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,235,235,1.0,False,None,None,35,23,11,47,119,174,30.4,0.0,None
2021-02-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,248,207,1.2,True,Minor,Poor AQI,72,20,10,41,105,208,31.3,0.0,None
2021-02-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,262,262,1.0,False,None,None,39,26,13,52,132,176,34.4,0.0,None
2021-03-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,310,310,1.0,False,None,None,40,26,53,53,138,98,35.2,0.0,None
2021-03-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,304,304,1.0,False,None,None,45,30,15,60,154,135,34.5,0.0,None
2021-03-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,286,239,1.2,True,Minor,Heatwave,37,24,49,49,127,58,36.4,0.0,None
2021-03-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,315,263,1.2,True,Minor,Heatwave,41,27,54,54,139,100,36.5,0.0,None
2021-03-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,302,252,1.2,True,Minor,Heatwave,39,26,52,52,133,68,36.7,0.0,None
2021-03-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,238,238,1.0,False,None,None,35,23,11,47,122,125,31.5,0.0,None
2021-03-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,209,209,1.0,False,None,None,31,20,10,41,107,153,33.0,0.0,None
2021-03-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,263,263,1.0,False,None,None,39,26,13,52,133,85,32.4,0.0,None
2021-03-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,274,274,1.0,False,None,None,41,27,13,54,139,124,35.0,0.0,None
2021-03-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,236,236,1.0,False,None,None,35,23,11,47,120,92,32.8,0.0,None
2021-03-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,209,209,1.0,False,None,None,31,20,10,41,107,119,31.1,0.0,None
2021-03-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,213,213,1.0,False,None,None,31,21,10,42,109,142,32.8,0.0,None
2021-03-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,238,238,1.0,False,None,None,31,20,41,41,105,51,35.8,0.0,None
2021-03-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,240,240,1.0,False,None,None,36,24,12,48,120,110,34.7,0.0,None
2021-03-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,268,268,1.0,False,None,None,40,26,13,53,136,120,34.7,0.0,None
2021-03-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,264,264,1.0,False,None,None,39,26,13,52,134,123,33.9,0.0,None
2021-03-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,242,242,1.0,False,None,None,36,24,12,48,122,122,34.8,0.0,None
2021-03-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,304,304,1.0,False,None,None,45,30,15,60,154,129,32.6,0.0,None
2021-03-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,284,284,1.0,False,None,None,42,28,14,56,144,85,32.3,0.0,None
2021-03-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,178,178,1.0,False,None,None,26,17,8,35,92,125,31.3,0.0,None
2021-03-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,185,185,1.0,False,None,None,27,18,9,37,94,119,32.1,0.0,None
2021-03-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,267,267,1.0,False,None,None,40,26,13,53,135,99,33.9,0.0,None
2021-03-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,274,274,1.0,False,None,None,41,27,13,54,139,110,34.0,0.0,None
2021-03-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,268,268,1.0,False,None,None,34,23,46,46,119,136,35.7,0.0,None
2021-03-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,330,275,1.2,True,Minor,Heatwave,43,28,57,57,145,105,38.4,0.0,None
2021-03-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,268,224,1.2,True,Minor,Heatwave,34,23,46,46,119,138,36.7,0.0,None
2021-03-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,204,170,1.2,True,Minor,Heatwave,26,17,35,35,91,109,38.7,0.0,None
2021-03-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,265,221,1.2,True,Minor,Event: Holi,34,23,11,80,117,116,33.8,0.0,Holi
2021-03-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,280,234,1.2,True,Minor,Event: Holi,36,24,12,85,123,112,32.6,0.0,Holi
2021-03-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,211,211,1.0,False,None,None,31,21,10,42,107,154,31.5,0.0,None
2021-03-31,KEM_H1,King Edward Memorial Hospital,Parel,2250,251,251,1.0,False,None,None,37,25,12,50,127,94,31.0,0.0,None
2021-04-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,220,220,1.0,False,None,None,33,22,11,44,110,113,31.7,0.0,None
2021-04-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,306,306,1.0,False,None,None,45,30,15,61,155,136,31.1,0.1,None
2021-04-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,185,185,1.0,False,None,None,27,18,9,37,94,105,30.5,0.0,None
2021-04-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,248,248,1.0,False,None,None,37,24,12,49,126,101,31.1,0.0,None
2021-04-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,295,295,1.0,False,None,None,44,29,14,59,149,191,31.8,0.0,None
2021-04-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,221,221,1.0,False,None,None,33,22,11,44,111,144,34.0,0.0,None
2021-04-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,295,295,1.0,False,None,None,44,29,14,59,149,114,33.5,0.0,None
2021-04-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,296,296,1.0,False,None,None,44,29,14,59,150,128,31.6,0.0,None
2021-04-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,238,238,1.0,False,None,None,35,23,11,47,122,90,32.1,0.0,None
2021-04-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,212,212,1.0,False,None,None,31,21,10,42,108,116,32.4,0.0,None
2021-04-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,256,256,1.0,False,None,None,38,25,12,51,130,100,34.2,0.0,None
2021-04-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,234,234,1.0,False,None,None,35,23,11,46,119,176,33.5,0.0,None
2021-04-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,387,323,1.2,True,Minor,Heatwave,50,33,67,67,170,124,36.2,0.0,None
2021-04-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,225,225,1.0,False,None,None,29,19,39,39,99,118,35.5,0.0,None
2021-04-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,244,244,1.0,False,None,None,36,24,12,48,124,143,34.1,0.0,None
2021-04-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,284,284,1.0,False,None,None,42,28,14,56,144,143,32.2,0.0,None
2021-04-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,225,225,1.0,False,None,None,33,22,11,45,114,121,32.5,0.0,None
2021-04-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,255,255,1.0,False,None,None,38,25,12,51,129,110,34.4,0.0,None
2021-04-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,360,300,1.2,True,Minor,Poor AQI,105,30,15,60,150,202,32.7,0.0,None
2021-04-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,272,272,1.0,False,None,None,40,27,13,54,138,99,32.2,0.0,None
2021-04-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,292,292,1.0,False,None,None,43,29,14,58,148,106,32.1,0.0,None
2021-04-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,237,237,1.0,False,None,None,35,23,11,47,121,78,33.0,0.0,None
2021-04-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,291,291,1.0,False,None,None,43,29,14,58,147,84,33.4,0.0,None
2021-04-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,197,197,1.0,False,None,None,29,19,9,39,101,104,32.3,0.0,None
2021-04-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,238,238,1.0,False,None,None,35,23,11,47,122,110,33.7,0.0,None
2021-04-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,242,242,1.0,False,None,None,36,24,12,48,122,132,33.5,0.0,None
2021-04-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,224,224,1.0,False,None,None,33,22,11,44,114,94,33.8,0.0,None
2021-04-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,249,249,1.0,False,None,None,37,24,12,49,127,137,34.3,0.0,None
2021-04-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,263,263,1.0,False,None,None,39,26,13,52,133,87,34.2,0.0,None
2021-04-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,264,264,1.0,False,None,None,39,26,13,52,134,119,32.5,0.0,None
2021-05-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,181,181,1.0,False,None,None,27,18,9,36,91,121,34.3,0.0,None
2021-05-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,189,189,1.0,False,None,None,28,18,9,37,97,120,33.7,0.0,None
2021-05-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,268,268,1.0,False,None,None,40,26,13,53,136,132,34.4,0.0,None
2021-05-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,311,311,1.0,False,None,None,46,31,15,62,157,106,33.7,0.0,None
2021-05-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,274,274,1.0,False,None,None,41,27,13,54,139,116,33.5,0.0,None
2021-05-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,238,238,1.0,False,None,None,35,23,11,47,122,119,32.9,0.0,None
2021-05-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,303,303,1.0,False,None,None,45,30,15,60,153,74,33.0,0.0,None
2021-05-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,237,237,1.0,False,None,None,35,23,11,47,121,94,33.4,0.0,None
2021-05-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,239,239,1.0,False,None,None,35,23,11,47,123,168,33.0,0.0,None
2021-05-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,259,259,1.0,False,None,None,38,25,12,51,133,18,33.3,0.0,None
2021-05-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,241,241,1.0,False,None,None,36,24,12,48,121,182,32.8,0.0,None
2021-05-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,286,286,1.0,False,None,None,42,28,14,57,145,86,32.6,0.0,None
2021-05-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,309,309,1.0,False,None,None,46,30,15,61,157,146,32.1,0.0,None
2021-05-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,291,291,1.0,False,None,None,43,29,14,58,147,119,33.3,0.0,None
2021-05-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,219,219,1.0,False,None,None,28,19,38,38,96,105,35.4,0.0,None
2021-05-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,261,218,1.2,True,Minor,Heatwave,34,22,45,45,115,124,36.3,7.0,None
2021-05-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,351,270,1.3,True,Moderate,Heavy Rainfall,43,87,14,58,149,117,27.6,199.9,None
2021-05-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,241,241,1.0,False,None,None,30,60,10,40,101,137,28.7,22.6,None
2021-05-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,297,297,1.0,False,None,None,44,29,14,59,151,124,29.3,15.2,None
2021-05-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,272,272,1.0,False,None,None,40,27,13,54,138,197,30.8,1.0,None
2021-05-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,242,242,1.0,False,None,None,36,24,12,48,122,130,30.8,0.3,None
2021-05-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,227,227,1.0,False,None,None,34,22,11,45,115,125,30.6,1.2,None
2021-05-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,197,197,1.0,False,None,None,29,19,9,39,101,192,30.9,1.6,None
2021-05-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,283,283,1.0,False,None,None,42,28,14,56,143,94,31.0,1.8,None
2021-05-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,261,261,1.0,False,None,None,39,26,13,52,131,116,31.0,1.7,None
2021-05-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,284,284,1.0,False,None,None,42,28,14,56,144,136,31.1,0.0,None
2021-05-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,286,286,1.0,False,None,None,42,28,14,57,145,137,31.6,4.8,None
2021-05-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,217,217,1.0,False,None,None,32,21,10,43,111,89,31.2,3.6,None
2021-05-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,236,236,1.0,False,None,None,35,23,11,47,120,101,31.0,2.8,None
2021-05-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,218,218,1.0,False,None,None,32,21,10,43,112,170,30.8,3.3,None
2021-05-31,KEM_H1,King Edward Memorial Hospital,Parel,2250,254,254,1.0,False,None,None,38,25,12,50,129,138,30.4,3.5,None
2021-06-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,244,244,1.0,False,None,None,36,24,12,48,124,91,30.6,7.4,None
2021-06-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,310,310,1.0,False,None,None,46,31,15,62,156,83,29.9,11.1,None
2021-06-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,256,256,1.0,False,None,None,38,25,12,51,130,52,30.9,1.3,None
2021-06-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,290,290,1.0,False,None,None,43,29,14,58,146,68,31.2,5.2,None
2021-06-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,195,195,1.0,False,None,None,29,19,9,39,99,56,29.3,7.7,None
2021-06-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,261,261,1.0,False,None,None,39,26,13,52,131,46,29.5,9.7,None
2021-06-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,233,233,1.0,False,None,None,34,23,11,46,119,65,29.3,10.5,None
2021-06-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,258,258,1.0,False,None,None,32,64,10,43,109,68,28.5,25.1,None
2021-06-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,314,314,1.0,False,None,None,39,78,13,52,132,58,28.4,24.0,None
2021-06-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,243,243,1.0,False,None,None,30,60,10,40,103,51,28.2,24.0,None
2021-06-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,252,252,1.0,False,None,None,37,25,12,50,128,51,28.4,19.6,None
2021-06-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,193,193,1.0,False,None,None,28,19,9,38,99,48,28.8,15.7,None
2021-06-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,211,211,1.0,False,None,None,31,21,10,42,107,71,29.0,9.6,None
2021-06-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,256,256,1.0,False,None,None,38,25,12,51,130,76,29.1,5.2,None
2021-06-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,277,277,1.0,False,None,None,41,27,13,55,141,69,28.3,9.2,None
2021-06-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,316,316,1.0,False,None,None,47,31,15,63,160,107,27.4,13.7,None
2021-06-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,239,239,1.0,False,None,None,35,23,11,47,123,30,27.4,18.5,None
2021-06-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,313,313,1.0,False,None,None,46,31,15,62,159,85,27.4,15.9,None
2021-06-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,250,250,1.0,False,None,None,37,25,12,50,126,75,27.0,18.5,None
2021-06-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,179,179,1.0,False,None,None,26,17,8,35,93,66,29.0,10.3,None
2021-06-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,280,280,1.0,False,None,None,42,28,14,56,140,51,29.3,5.6,None
2021-06-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,272,272,1.0,False,None,None,40,27,13,54,138,46,28.7,5.9,None
2021-06-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,294,294,1.0,False,None,None,44,29,14,58,149,89,28.3,5.6,None
2021-06-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,241,241,1.0,False,None,None,36,24,12,48,121,62,27.6,8.7,None
2021-06-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,305,305,1.0,False,None,None,38,76,12,50,129,73,26.8,36.7,None
2021-06-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,253,253,1.0,False,None,None,37,25,12,50,129,60,29.5,3.5,None
2021-06-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,245,245,1.0,False,None,None,36,24,12,49,124,56,28.6,9.3,None
2021-06-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,297,297,1.0,False,None,None,44,29,14,59,151,53,27.5,19.2,None
2021-06-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,274,274,1.0,False,None,None,41,27,13,54,139,50,29.3,3.0,None
2021-06-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,293,293,1.0,False,None,None,43,29,14,58,149,73,29.0,4.8,None
2021-07-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,258,258,1.0,False,None,None,38,25,12,51,132,64,29.9,2.9,None
2021-07-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,260,260,1.0,False,None,None,39,26,13,52,130,49,30.0,1.8,None
2021-07-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,242,242,1.0,False,None,None,36,24,12,48,122,47,29.7,1.8,None
2021-07-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,225,225,1.0,False,None,None,33,22,11,45,114,23,29.2,2.3,None
2021-07-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,296,296,1.0,False,None,None,44,29,14,59,150,55,29.2,1.2,None
2021-07-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,248,248,1.0,False,None,None,37,24,12,49,126,62,29.8,1.0,None
2021-07-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,265,265,1.0,False,None,None,39,26,13,53,134,34,29.7,2.2,None
2021-07-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,255,255,1.0,False,None,None,38,25,12,51,129,61,29.2,8.9,None
2021-07-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,287,287,1.0,False,None,None,43,28,14,57,145,75,29.2,4.1,None
2021-07-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,241,186,1.3,True,Moderate,Heavy Rainfall,30,60,10,40,101,61,26.9,85.5,None
2021-07-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,185,185,1.0,False,None,None,27,18,9,37,94,22,28.9,13.7,None
2021-07-12,KEM_H1,King Edward Memorial Hospital,Parel,2250,317,317,1.0,False,None,None,39,79,13,52,134,56,28.4,41.0,None
2021-07-13,KEM_H1,King Edward Memorial Hospital,Parel,2250,226,226,1.0,False,None,None,28,56,9,37,96,45,28.2,34.6,None
2021-07-14,KEM_H1,King Edward Memorial Hospital,Parel,2250,295,295,1.0,False,None,None,36,73,12,49,125,42,27.4,34.9,None
2021-07-15,KEM_H1,King Edward Memorial Hospital,Parel,2250,272,272,1.0,False,None,None,33,68,11,45,115,61,28.2,22.4,None
2021-07-16,KEM_H1,King Edward Memorial Hospital,Parel,2250,245,245,1.0,False,None,None,30,61,10,40,104,67,28.5,31.8,None
2021-07-17,KEM_H1,King Edward Memorial Hospital,Parel,2250,260,260,1.0,False,None,None,32,65,10,43,110,62,27.7,40.6,None
2021-07-18,KEM_H1,King Edward Memorial Hospital,Parel,2250,236,236,1.0,False,None,None,29,59,9,39,100,88,28.3,32.9,None
2021-07-19,KEM_H1,King Edward Memorial Hospital,Parel,2250,289,223,1.3,True,Moderate,Monsoon outbreak of acute waterborne diseases.,36,72,12,48,121,67,27.5,55.2,None
2021-07-20,KEM_H1,King Edward Memorial Hospital,Parel,2250,246,246,1.0,False,None,None,30,61,10,41,104,62,27.6,29.1,None
2021-07-21,KEM_H1,King Edward Memorial Hospital,Parel,2250,260,260,1.0,False,None,None,32,65,10,43,110,64,27.3,36.7,None
2021-07-22,KEM_H1,King Edward Memorial Hospital,Parel,2250,279,279,1.0,False,None,None,41,27,13,55,143,53,27.4,18.5,None
2021-07-23,KEM_H1,King Edward Memorial Hospital,Parel,2250,256,256,1.0,False,None,None,31,64,10,42,109,46,26.9,28.2,None
2021-07-24,KEM_H1,King Edward Memorial Hospital,Parel,2250,215,215,1.0,False,None,None,32,21,10,43,109,48,27.9,13.1,None
2021-07-25,KEM_H1,King Edward Memorial Hospital,Parel,2250,242,242,1.0,False,None,None,36,24,12,48,122,107,28.4,15.3,None
2021-07-26,KEM_H1,King Edward Memorial Hospital,Parel,2250,263,263,1.0,False,None,None,39,26,13,52,133,69,28.6,12.5,None
2021-07-27,KEM_H1,King Edward Memorial Hospital,Parel,2250,237,237,1.0,False,None,None,35,23,11,47,121,66,28.2,8.4,None
2021-07-28,KEM_H1,King Edward Memorial Hospital,Parel,2250,252,252,1.0,False,None,None,37,25,12,50,128,60,28.4,12.4,None
2021-07-29,KEM_H1,King Edward Memorial Hospital,Parel,2250,270,270,1.0,False,None,None,40,27,13,54,136,42,28.9,11.3,None
2021-07-30,KEM_H1,King Edward Memorial Hospital,Parel,2250,274,274,1.0,False,None,None,41,27,13,54,139,59,28.3,8.4,None
2021-07-31,KEM_H1,King Edward Memorial Hospital,Parel,2250,176,176,1.0,False,None,None,26,17,8,35,90,72,28.7,2.7,None
2021-08-01,KEM_H1,King Edward Memorial Hospital,Parel,2250,191,191,1.0,False,None,None,28,19,9,38,97,62,28.3,3.1,None
2021-08-02,KEM_H1,King Edward Memorial Hospital,Parel,2250,272,272,1.0,False,None,None,40,27,13,54,138,58,28.2,4.7,None
2021-08-03,KEM_H1,King Edward Memorial Hospital,Parel,2250,255,255,1.0,False,None,None,38,25,12,51,129,55,27.3,9.8,None
2021-08-04,KEM_H1,King Edward Memorial Hospital,Parel,2250,240,240,1.0,False,None,None,36,24,12,48,120,60,27.5,5.6,None
2021-08-05,KEM_H1,King Edward Memorial Hospital,Parel,2250,276,276,1.0,False,None,None,41,27,13,55,140,73,28.5,5.9,None
2021-08-06,KEM_H1,King Edward Memorial Hospital,Parel,2250,268,268,1.0,False,None,None,40,26,13,53,136,77,28.3,3.9,None
2021-08-07,KEM_H1,King Edward Memorial Hospital,Parel,2250,229,229,1.0,False,None,None,34,22,11,45,117,81,28.2,4.0,None
2021-08-08,KEM_H1,King Edward Memorial Hospital,Parel,2250,230,230,1.0,False,None,None,34,23,11,46,116,75,28.0,3.0,None
2021-08-09,KEM_H1,King Edward Memorial Hospital,Parel,2250,268,268,1.0,False,None,None,40,26,13,53,136,69,28.2,4.2,None
2021-08-10,KEM_H1,King Edward Memorial Hospital,Parel,2250,253,253,1.0,False,None,None,37,25,12,50,129,64,27.9,4.2,None
2021-08-11,KEM_H1,King Edward Memorial Hospital,Parel,2250,274,274,1.0,False,None,None,41,27,13,54,139,59,28.1,5.5,None
